/home/pbqv20/anaconda3/envs/arcface/lib/python3.9/site-packages/torch/utils/_contextlib.py:125: UserWarning: Decorating classes is deprecated and will be disabled in future versions. You should only decorate functions or methods. To preserve the current behavior of class decoration, you can directly decorate the `__init__` method and nothing else.
Training: 2024-03-20 19:51:11,277-Speed 100.75 samples/sec   Loss 48.3864   LearningRate 0.019968   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 131072   Required: 76 hours
Training: 2024-03-20 19:51:24,051-Speed 100.21 samples/sec   Loss 48.2077   LearningRate 0.019967   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 131072   Required: 76 hours
Training: 2024-03-20 19:51:36,681-Speed 101.35 samples/sec   Loss 48.1153   LearningRate 0.019966   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 131072   Required: 75 hours
Training: 2024-03-20 19:51:48,334-Speed 109.85 samples/sec   Loss 48.0754   LearningRate 0.019965   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 131072   Required: 75 hours
Training: 2024-03-20 19:52:01,428-Speed 98.15 samples/sec   Loss 48.1704   LearningRate 0.019964   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 131072   Required: 75 hours
Training: 2024-03-20 19:52:14,842-Speed 95.43 samples/sec   Loss 47.8964   LearningRate 0.019963   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 131072   Required: 75 hours
Training: 2024-03-20 19:52:26,903-Speed 106.13 samples/sec   Loss 47.6698   LearningRate 0.019962   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 131072   Required: 75 hours
Training: 2024-03-20 19:52:42,180-Speed 87.94 samples/sec   Loss 47.9810   LearningRate 0.019961   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 131072   Required: 75 hours
Training: 2024-03-20 19:52:54,279-Speed 105.80 samples/sec   Loss 47.8260   LearningRate 0.019960   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 262144   Required: 75 hours
Training: 2024-03-20 19:53:09,900-Speed 81.94 samples/sec   Loss 47.8946   LearningRate 0.019959   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 262144   Required: 75 hours
Training: 2024-03-20 19:53:25,059-Speed 84.44 samples/sec   Loss 47.9091   LearningRate 0.019958   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:53:40,024-Speed 85.54 samples/sec   Loss 47.6908   LearningRate 0.019957   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:53:56,907-Speed 75.82 samples/sec   Loss 47.9089   LearningRate 0.019956   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:54:10,004-Speed 97.74 samples/sec   Loss 47.7205   LearningRate 0.019955   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:54:26,186-Speed 79.10 samples/sec   Loss 47.7161   LearningRate 0.019954   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:54:40,445-Speed 99.50 samples/sec   Loss 47.4415   LearningRate 0.019953   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:54:55,304-Speed 86.14 samples/sec   Loss 47.6957   LearningRate 0.019952   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:55:09,255-Speed 91.75 samples/sec   Loss 47.5252   LearningRate 0.019951   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:55:24,129-Speed 86.06 samples/sec   Loss 47.4680   LearningRate 0.019950   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:55:37,305-Speed 97.14 samples/sec   Loss 47.2416   LearningRate 0.019949   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:55:49,925-Speed 101.44 samples/sec   Loss 47.4935   LearningRate 0.019948   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:56:05,454-Speed 82.43 samples/sec   Loss 47.3058   LearningRate 0.019947   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:56:18,115-Speed 101.10 samples/sec   Loss 47.3228   LearningRate 0.019946   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:56:31,202-Speed 98.21 samples/sec   Loss 47.2524   LearningRate 0.019945   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:56:46,731-Speed 82.43 samples/sec   Loss 47.3100   LearningRate 0.019944   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:56:58,790-Speed 106.14 samples/sec   Loss 47.4091   LearningRate 0.019943   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:57:10,010-Speed 114.10 samples/sec   Loss 47.3255   LearningRate 0.019942   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 19:57:23,992-Speed 91.55 samples/sec   Loss 47.1113   LearningRate 0.019941   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:57:36,667-Speed 100.99 samples/sec   Loss 47.0579   LearningRate 0.019940   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:57:50,339-Speed 93.63 samples/sec   Loss 47.2252   LearningRate 0.019939   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:58:02,796-Speed 102.76 samples/sec   Loss 47.1115   LearningRate 0.019938   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:58:16,720-Speed 91.93 samples/sec   Loss 47.0553   LearningRate 0.019937   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:58:29,565-Speed 99.66 samples/sec   Loss 47.2157   LearningRate 0.019936   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:58:40,961-Speed 112.32 samples/sec   Loss 47.0752   LearningRate 0.019935   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:58:54,842-Speed 92.22 samples/sec   Loss 46.7231   LearningRate 0.019934   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:59:08,605-Speed 93.00 samples/sec   Loss 46.9706   LearningRate 0.019933   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:59:23,590-Speed 85.42 samples/sec   Loss 46.9595   LearningRate 0.019932   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:59:35,769-Speed 105.11 samples/sec   Loss 47.1717   LearningRate 0.019931   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 19:59:51,134-Speed 83.31 samples/sec   Loss 47.0180   LearningRate 0.019930   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 20:00:04,559-Speed 95.35 samples/sec   Loss 46.9326   LearningRate 0.019929   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 20:00:20,157-Speed 82.06 samples/sec   Loss 46.8429   LearningRate 0.019928   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 262144   Required: 76 hours
Training: 2024-03-20 20:00:37,251-Speed 74.88 samples/sec   Loss 46.7575   LearningRate 0.019927   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 20:00:51,312-Speed 91.03 samples/sec   Loss 46.8630   LearningRate 0.019926   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 20:01:08,148-Speed 76.03 samples/sec   Loss 46.8690   LearningRate 0.019925   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 20:01:23,059-Speed 85.85 samples/sec   Loss 47.0273   LearningRate 0.019924   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 20:01:38,842-Speed 81.10 samples/sec   Loss 46.8898   LearningRate 0.019923   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 20:01:56,858-Speed 71.05 samples/sec   Loss 46.9355   LearningRate 0.019922   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 262144   Required: 77 hours
Training: 2024-03-20 20:02:11,098-Speed 89.89 samples/sec   Loss 46.8143   LearningRate 0.019921   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 262144   Required: 78 hours
Training: 2024-03-20 20:02:27,934-Speed 76.03 samples/sec   Loss 46.6024   LearningRate 0.019920   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 524288   Required: 78 hours
Training: 2024-03-20 20:02:43,201-Speed 83.85 samples/sec   Loss 46.7259   LearningRate 0.019919   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 262144   Required: 78 hours
Training: 2024-03-20 20:02:57,817-Speed 87.58 samples/sec   Loss 46.7558   LearningRate 0.019918   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 262144   Required: 78 hours
Training: 2024-03-20 20:03:14,110-Speed 78.56 samples/sec   Loss 46.7487   LearningRate 0.019917   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 262144   Required: 78 hours
Training: 2024-03-20 20:03:29,262-Speed 84.48 samples/sec   Loss 46.4447   LearningRate 0.019916   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 131072   Required: 78 hours
Training: 2024-03-20 20:03:47,495-Speed 70.20 samples/sec   Loss 46.6906   LearningRate 0.019915   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 131072   Required: 78 hours
Training: 2024-03-20 20:04:01,026-Speed 94.60 samples/sec   Loss 46.8037   LearningRate 0.019914   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 131072   Required: 78 hours
Training: 2024-03-20 20:04:16,744-Speed 81.44 samples/sec   Loss 46.7160   LearningRate 0.019913   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 131072   Required: 78 hours
Training: 2024-03-20 20:04:33,963-Speed 74.34 samples/sec   Loss 46.6962   LearningRate 0.019912   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 131072   Required: 79 hours
Training: 2024-03-20 20:04:49,633-Speed 81.69 samples/sec   Loss 46.5851   LearningRate 0.019911   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 131072   Required: 79 hours
Training: 2024-03-20 20:05:03,534-Speed 92.08 samples/sec   Loss 46.6196   LearningRate 0.019910   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 131072   Required: 79 hours
Training: 2024-03-20 20:05:19,435-Speed 80.50 samples/sec   Loss 46.5021   LearningRate 0.019909   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 131072   Required: 79 hours
Training: 2024-03-20 20:05:34,890-Speed 82.82 samples/sec   Loss 46.5944   LearningRate 0.019908   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 131072   Required: 79 hours
Training: 2024-03-20 20:05:49,990-Speed 84.77 samples/sec   Loss 46.6114   LearningRate 0.019907   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 131072   Required: 79 hours
Training: 2024-03-20 20:06:06,016-Speed 79.87 samples/sec   Loss 46.4357   LearningRate 0.019906   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 262144   Required: 79 hours
Training: 2024-03-20 20:06:19,660-Speed 93.82 samples/sec   Loss 46.4990   LearningRate 0.019905   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 262144   Required: 79 hours
Training: 2024-03-20 20:06:36,228-Speed 77.26 samples/sec   Loss 46.5218   LearningRate 0.019904   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 262144   Required: 79 hours
Training: 2024-03-20 20:06:51,602-Speed 83.26 samples/sec   Loss 46.5758   LearningRate 0.019904   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 262144   Required: 79 hours
Training: 2024-03-20 20:07:08,498-Speed 75.76 samples/sec   Loss 46.5256   LearningRate 0.019903   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 262144   Required: 79 hours
Training: 2024-03-20 20:07:22,256-Speed 93.04 samples/sec   Loss 46.5851   LearningRate 0.019902   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 262144   Required: 79 hours
Training: 2024-03-20 20:07:40,052-Speed 71.93 samples/sec   Loss 46.4989   LearningRate 0.019901   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:07:53,648-Speed 94.15 samples/sec   Loss 46.3342   LearningRate 0.019900   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:08:11,036-Speed 73.62 samples/sec   Loss 46.3710   LearningRate 0.019899   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:08:26,279-Speed 83.97 samples/sec   Loss 46.2746   LearningRate 0.019898   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:08:41,227-Speed 85.63 samples/sec   Loss 46.2667   LearningRate 0.019897   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:08:57,851-Speed 77.00 samples/sec   Loss 46.2485   LearningRate 0.019896   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:09:13,528-Speed 81.65 samples/sec   Loss 46.3097   LearningRate 0.019895   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:09:30,915-Speed 73.62 samples/sec   Loss 46.4187   LearningRate 0.019894   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:09:44,169-Speed 96.58 samples/sec   Loss 46.3079   LearningRate 0.019893   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:09:57,735-Speed 94.36 samples/sec   Loss 46.3811   LearningRate 0.019892   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:10:14,687-Speed 75.51 samples/sec   Loss 46.1474   LearningRate 0.019891   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:10:31,652-Speed 75.45 samples/sec   Loss 46.2790   LearningRate 0.019890   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:10:45,486-Speed 92.53 samples/sec   Loss 46.2469   LearningRate 0.019889   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:11:02,766-Speed 74.08 samples/sec   Loss 46.2640   LearningRate 0.019888   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:11:17,596-Speed 86.31 samples/sec   Loss 46.2583   LearningRate 0.019887   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 524288   Required: 80 hours
Training: 2024-03-20 20:11:31,441-Speed 92.46 samples/sec   Loss 46.1806   LearningRate 0.019886   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:11:46,539-Speed 84.78 samples/sec   Loss 46.2902   LearningRate 0.019885   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 262144   Required: 80 hours
Training: 2024-03-20 20:12:04,741-Speed 80.89 samples/sec   Loss 46.2545   LearningRate 0.019884   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:12:19,578-Speed 86.28 samples/sec   Loss 46.1118   LearningRate 0.019883   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:12:34,655-Speed 84.90 samples/sec   Loss 46.2974   LearningRate 0.019882   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:12:50,213-Speed 82.28 samples/sec   Loss 46.1112   LearningRate 0.019881   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:13:06,284-Speed 79.65 samples/sec   Loss 46.3256   LearningRate 0.019880   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:13:21,014-Speed 86.90 samples/sec   Loss 46.0811   LearningRate 0.019879   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:13:38,336-Speed 73.90 samples/sec   Loss 46.0097   LearningRate 0.019878   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:13:52,773-Speed 88.67 samples/sec   Loss 45.9847   LearningRate 0.019877   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:14:09,059-Speed 78.60 samples/sec   Loss 46.1214   LearningRate 0.019876   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 524288   Required: 81 hours
Training: 2024-03-20 20:14:24,544-Speed 82.66 samples/sec   Loss 46.1897   LearningRate 0.019875   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:14:41,318-Speed 76.31 samples/sec   Loss 46.0318   LearningRate 0.019874   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 262144   Required: 81 hours
Training: 2024-03-20 20:14:55,988-Speed 87.25 samples/sec   Loss 46.0996   LearningRate 0.019873   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 262144   Required: 81 hours
